Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
1520.0000,-1.1841813956e+00,1.4478327037e+01,1.6754136909e+00,-3.4717719763e-03,7.4760011692e-03,2.7001796476e-03
1530.0000,-1.2189956878e+00,1.4552804412e+01,1.7024825145e+00,-3.4909997768e-03,7.4193880111e-03,2.7135091128e-03
1540.0000,-1.2539996437e+00,1.4626713094e+01,1.7296823445e+00,-3.5097030961e-03,7.3622638548e-03,2.7263797600e-03
1550.0000,-1.2891879696e+00,1.4700048015e+01,1.7570085574e+00,-3.5278722228e-03,7.3046372827e-03,2.7387845766e-03
1560.0000,-1.3245552755e+00,1.4772804194e+01,1.7844564603e+00,-3.5454975144e-03,7.2465170879e-03,2.7507166356e-03
1570.0000,-1.3600960752e+00,1.4844976741e+01,1.8120212915e+00,-3.5625694000e-03,7.1879122724e-03,2.7621690984e-03
1580.0000,-1.3958047872e+00,1.4916560855e+01,1.8396982212e+00,-3.5790783828e-03,7.1288320461e-03,2.7731352161e-03
1590.0000,-1.4316757351e+00,1.4987551828e+01,1.8674823525e+00,-3.5950150424e-03,7.0692858251e-03,2.7836083318e-03
1600.0000,-1.4677031491e+00,1.5057945050e+01,1.8953687225e+00,-3.6103700379e-03,7.0092832304e-03,2.7935818822e-03
1610.0000,-1.5038811661e+00,1.5127736005e+01,1.9233523033e+00,-3.6251341100e-03,6.9488340861e-03,2.8030493996e-03
1620.0000,-1.5402038310e+00,1.5196920277e+01,1.9514280026e+00,-3.6392980835e-03,6.8879484180e-03,2.8120045138e-03
1630.0000,-1.5766650973e+00,1.5265493552e+01,1.9795906648e+00,-3.6528528702e-03,6.8266364520e-03,2.8204409538e-03
1640.0000,-1.6132588280e+00,1.5333451620e+01,2.0078350724e+00,-3.6657894707e-03,6.7649086124e-03,2.8283525498e-03
1650.0000,-1.6499787967e+00,1.5400790373e+01,2.0361559464e+00,-3.6780989777e-03,6.7027755200e-03,2.8357332350e-03
1660.0000,-1.6868186882e+00,1.5467505815e+01,2.0645479478e+00,-3.6897725777e-03,6.6402479906e-03,2.8425770471e-03
1670.0000,-1.7237720998e+00,1.5533594055e+01,2.0930056784e+00,-3.7008015539e-03,6.5773370332e-03,2.8488781306e-03
